Observation time UTC,Air temperature (dry bulb) [Deg C],Wet bulb temperature [Deg C],Dew point temperature [Deg C],Relative humidity [%],Data Source (dry bulb),Data Source (wet bulb)
1942-07-31T21:00:00Z,4.7,4.6,4.5,98.4,D,D
1942-08-01T21:00:00Z,7.6,7.4,7.2,97.1,D,D
1942-08-02T21:00:00Z,8.6,8.6,8.6,100,D,D
1942-08-03T21:00:00Z,6.8,6.7,6.6,98.5,D,D
1942-08-04T21:00:00Z,12.2,11.1,10.1,86.8,D,D
1942-08-05T21:00:00Z,15.7,14.9,14.3,91.4,D,D
1942-08-06T21:00:00Z,13.1,12.2,11.4,89.5,D,D
1942-08-07T21:00:00Z,10.1,9.2,8.3,88.3,D,D
1942-08-08T21:00:00Z,5.6,5.6,5.6,100,D,D
1942-08-09T21:00:00Z,13.1,12.6,12.2,94.1,D,D
1942-08-10T21:00:00Z,11.6,11.6,11.6,100,D,D
1942-08-11T21:00:00Z,9,9,9,100,D,D
1942-08-12T21:00:00Z,13.3,11.1,9,75,D,D
1942-08-13T21:00:00Z,13.3,11.8,10.4,82.8,D,D
1942-08-14T21:00:00Z,11.9,11.7,11.5,97.5,D,D
1942-08-15T21:00:00Z,13.5,12.7,12,90.8,D,D
1942-08-16T21:00:00Z,14.2,13.4,12.8,91,D,D
1942-08-17T21:00:00Z,13.9,12.3,10.9,82,D,D
1942-08-18T21:00:00Z,12.9,12.1,11.4,90.6,D,D
1942-08-19T21:00:00Z,14.2,14.1,14,98.9,D,D
1942-08-20T21:00:00Z,9.6,9.6,9.6,100,D,D
1942-08-21T21:00:00Z,9.4,9.3,9.2,98.7,D,D
1942-08-22T21:00:00Z,16.2,15.3,14.6,90.5,D,D
1942-08-23T21:00:00Z,14.4,13.3,12.4,87.7,D,D
1942-08-24T21:00:00Z,10.7,10.7,10.7,100,D,D
1942-08-25T21:00:00Z,15.6,15.4,15.3,97.8,D,D
1942-08-26T21:00:00Z,12.8,11.6,10.5,85.9,D,D
1942-08-27T21:00:00Z,12.7,11.7,10.8,88.2,D,D
1942-08-28T21:00:00Z,8.8,8.7,8.6,98.6,D,D
1942-08-29T21:00:00Z,11.3,10.9,10.5,95,D,D
1942-08-30T21:00:00Z,14.2,12.6,11.2,82.2,D,D
1942-08-31T21:00:00Z,16.6,15,13.8,83.5,D,D
1942-09-01T21:00:00Z,15.4,15,14.7,95.6,D,D
1942-09-02T21:00:00Z,15.7,13.5,11.7,76.9,D,D
1942-09-03T21:00:00Z,14.2,11.7,9.3,72.6,D,D
1942-09-04T21:00:00Z,14.4,11.1,7.8,64.5,D,D
1942-09-05T21:00:00Z,13.1,10.6,8.1,71.5,D,D
1942-09-06T21:00:00Z,15.2,12.6,10.3,72.4,D,D
1942-09-07T21:00:00Z,11.1,11,10.9,98.7,D,D
1942-09-08T21:00:00Z,12.5,12.1,11.8,95.2,D,D
1942-09-09T21:00:00Z,12.2,10.7,9.2,82.1,D,D
1942-09-10T21:00:00Z,13.6,12,10.6,81.8,D,D
1942-09-11T21:00:00Z,12.2,9,5.3,62.8,D,D
1942-09-12T21:00:00Z,15.4,11.9,8.6,63.6,D,D
1942-09-13T21:00:00Z,15.7,13.3,11.3,74.9,D,D
1942-09-14T21:00:00Z,17.6,16.8,16.3,91.9,D,D
1942-09-15T21:00:00Z,16.2,15,14.1,87.4,D,D
1942-09-16T21:00:00Z,19.3,17.3,16,81.1,D,D
1942-09-17T21:00:00Z,16.2,14.6,13.4,83.3,D,D
1942-09-18T21:00:00Z,15.4,13.8,12.5,82.9,D,D
1942-09-19T21:00:00Z,15.4,13.3,11.5,77.7,D,D
1942-09-20T21:00:00Z,14,12.1,10.4,78.8,D,D
1942-09-21T21:00:00Z,14.4,13.4,12.6,88.8,D,D
1942-09-22T21:00:00Z,17.3,16.8,16.5,94.9,D,D
1942-09-23T21:00:00Z,14.4,13.4,12.6,88.8,D,D
1942-09-24T21:00:00Z,13.8,12,10.4,79.8,D,D
1942-09-25T21:00:00Z,14.4,12.7,11.2,81.2,D,D
1942-09-26T21:00:00Z,14.4,12.2,10.2,75.9,D,D
1942-09-27T21:00:00Z,11.9,11.1,10.4,90.3,D,D
1942-09-28T21:00:00Z,15.6,12.2,9,64.9,D,D
1942-09-29T21:00:00Z,13.5,13.3,13.1,97.7,D,D
1942-09-30T21:00:00Z,16.2,14,12.2,77.3,D,D
1942-10-01T21:00:00Z,16.1,13.1,10.5,69.3,D,D
1942-10-02T21:00:00Z,16.6,13.8,11.5,71.7,D,D
1942-10-03T21:00:00Z,17.6,14.9,12.8,73.5,D,D
1942-10-04T21:00:00Z,16.8,14.8,13.3,79.6,D,D
1942-10-05T21:00:00Z,16.9,14.6,12.8,76.8,D,D
1942-10-06T21:00:00Z,17.1,14.1,11.6,70.2,D,D
1942-10-07T21:00:00Z,16.2,16.1,16,98.9,D,D
1942-10-08T21:00:00Z,16.3,15.7,15.3,93.7,D,D
1942-10-09T21:00:00Z,16.4,14.5,13,80.4,D,D
1942-10-10T21:00:00Z,16.3,15.5,14.9,91.6,D,D
1942-10-11T21:00:00Z,16.6,16.2,15.9,95.8,D,D
1942-10-12T21:00:00Z,14.3,9,2.4,44.5,D,D
1942-10-13T21:00:00Z,15.9,12.4,9.2,64.2,D,D
1942-10-14T21:00:00Z,16.8,12.6,8.7,58.7,D,D
1942-10-15T21:00:00Z,16.9,14,11.6,71,D,D
1942-10-16T21:00:00Z,16.2,15.9,15.7,96.8,D,D
1942-10-17T21:00:00Z,18.3,17.7,17.3,94,D,D
1942-10-18T21:00:00Z,18.4,17.6,17.1,92.1,D,D
1942-10-19T21:00:00Z,19.6,18.6,18,90.5,D,D
1942-10-20T21:00:00Z,19.8,16.3,13.8,68.1,D,D
